filename,mean,min,max,std,dynamic_range,p10,p25,p75,p90,katz,higuchi,dfa,mean_katz,mean_higuchi,mean_dfa,perm_entropy,spectral_entropy,approx_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,HRV_RMSSD,HRV_SDSD,HRV_pNN50,HRV_pNN20,HRV_HTI,ground_truth_spo2
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions0.npy,0.03636314,-0.5657687,1.4986205,0.55782485,2.0643892,-0.4193793296813964,-0.3468832373619079,0.2209236547350883,1.1075725078582763,3.5680363,1.722176485062227,1.203109183158002,2.8144367,1.7562520413943905,1.2533638696014435,0.9946072514026462,4.755480582418386,0.7766515131685909,0.8463222505537228,0.94884086,1.7927047,95.25793444156804,102.74023338281629,57.14285714285714,85.71428571428571,3.5,93.0
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions1.npy,-0.008987787,-0.63294935,1.4844408,0.5746771,2.1173902,-0.4331288397312164,-0.3683529198169708,0.0794952288269996,1.1435122370719908,2.8247733,1.548611577234677,1.3094246322748304,2.2853396,1.5884649049327182,-0.9584557869115886,0.9881252698490796,3.782338257380616,0.7794971797249568,0.6886051591254443,0.76916015,2.0551467,577.8311941119904,666.9443865981741,40.0,60.0,2.5,93.0
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions2.npy,0.04578298,-0.705326,1.6009274,0.62777376,2.3062534,-0.4472246944904327,-0.3804249316453933,0.3829016238451004,1.2127832412719726,3.5297816,1.5850846240918242,1.301240465602716,2.5806236,1.6940146701580758,-0.8560358690049071,0.9905990754880636,3.715886403108016,0.7564845333016881,0.7271207238846265,0.8053609,1.982042,721.6236836057564,883.8049055708567,50.0,75.0,2.0,93.82222222222222
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions3.npy,0.08943946,-0.609422,1.5987508,0.660819,2.2081728,-0.4708855748176574,-0.3876814991235733,0.6028096228837967,1.2509945273399352,3.3490155,1.5777257667344158,1.2185975929589368,2.4573257,1.629917285462044,1.34053127522654,0.9970144288490742,3.7414874907117337,0.799854257221897,0.7212373049122319,0.7363007,2.0787752,52.70462766947301,60.85806194501848,40.0,80.0,1.6666666666666667,94.0
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions4.npy,0.14122029,-0.63978356,1.6027765,0.6677906,2.2425601,-0.4647810816764831,-0.3629991561174392,0.6828390657901764,1.2937909960746763,3.1813855,1.637669876897501,1.2733767361426955,3.1069212,1.7237266472722614,0.8308241644124023,0.9906689122080362,4.040338968101423,0.8708310020980949,1.022155852058899,0.88033503,1.93588,28.867513459481223,31.9142369252112,0.0,60.0,1.6666666666666667,94.07777777777778
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions5.npy,0.1806867,-0.724263,1.495296,0.6703089,2.219559,-0.4188882946968078,-0.3384952694177627,0.819135457277298,1.2948189735412596,3.2693584,1.592400681595625,1.2990690999840195,2.7478225,1.6600132699418957,1.5286480283249957,0.9967382306931852,4.044169049193442,0.9329841455645012,0.9929986404940604,0.8095097,1.9308702,37.267799624996535,41.9435246403931,20.0,40.0,2.5,94.7569458074365
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions6.npy,0.19328147,-0.63703895,1.6271672,0.70982915,2.2642062,-0.4755637049674988,-0.3778141438961029,0.9023567140102386,1.3088202238082884,4.5667214,1.6294274780728155,1.2150789623371197,3.2171738,1.713148851285588,0.4518270881059511,0.9959787366456184,3.658553784742253,0.8702983003315219,1.0774921794535777,0.81556565,1.9753842,16.66666666666663,16.66666666666663,0.0,20.0,1.6666666666666667,94.0
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions7.npy,-0.06680943,-0.65891856,1.5880973,0.5815068,2.247016,-0.4707592785358429,-0.3950508236885071,-0.1535442695021629,1.0590837478637696,2.7176857,1.6345974754508348,1.2779626553164982,2.3111112,1.7315200912685915,0.1324537722119781,0.9975938768099571,4.046013985673199,0.76495517087994,0.6831450967752606,0.8619925,1.8571837,40.82482904638632,27.2165526975909,20.0,60.0,2.5,94.0
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions8.npy,-0.049978044,-0.5997292,1.5104444,0.528425,2.1101737,-0.4237664103507995,-0.3722746223211288,0.0895044356584549,0.973523074388504,2.8015401,1.6867215862225504,1.1956436693325525,2.57057,1.7519922743472065,1.4149963350475818,0.993762246780188,4.271917438760283,0.5999877481064435,0.5278609039709315,0.9349391,1.7778614,106.71873729054748,119.79921473804346,40.0,60.0,2.5,94.14093337694908
/home/abhaygupta/workspaceVM/capstone/rPPG-Toolbox/PreprocessedData/PURE_SizeW72_SizeH72_ClipLength180_DataTypeDiffNormalized_Standardized_DataAugNone_LabelTypeDiffNormalized_Crop_faceTrue_BackendY5F_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse/201_predictions9.npy,0.10120881,-0.64007765,1.5556898,0.6446389,2.1957674,-0.4773116230964661,-0.3811239153146744,0.5528421103954315,1.254326069355011,3.3079512,1.6580941591084914,1.2881429518271656,2.7635744,1.7015757987203963,0.8163696964739886,0.9996120625626812,4.324343021726236,0.7925385365951936,0.7760253070682883,0.86670357,1.9125028,662.4868971450595,764.0050416742703,60.0,80.0,5.0,94.0
